"USER","PID","%CPU","%MEM","VSZ","RSS","TTY","STAT","START","TIME","COMMAND "
"root","1","0.0","0.0","19408","1204","?","Ss","Jan24","0:01","/sbin/init "
"root","2","0.0","0.0","0","0","?","S","Jan24","0:00","[kthreadd] "
"root","3","0.0","0.0","0","0","?","S","Jan24","0:03","[ksoftirqd/0] "
"root","5","0.0","0.0","0","0","?","S<","Jan24","0:00","[kworker/0:0H] "
"root","7","0.0","0.0","0","0","?","S","Jan24","0:00","[migration/0] "
"root","8","0.0","0.0","0","0","?","S","Jan24","0:00","[rcu_bh] "
"root","9","0.0","0.0","0","0","?","R","Jan24","0:08","[rcu_sched] "
"root","10","0.0","0.0","0","0","?","S","Jan24","0:02","[watchdog/0] "
"root","11","0.0","0.0","0","0","?","S","Jan24","0:02","[watchdog/1] "
"root","12","0.0","0.0","0","0","?","S","Jan24","0:00","[migration/1] "
"root","13","0.0","0.0","0","0","?","S","Jan24","0:00","[ksoftirqd/1] "
"root","15","0.0","0.0","0","0","?","S<","Jan24","0:00","[kworker/1:0H] "
"root","16","0.0","0.0","0","0","?","S<","Jan24","0:00","[khelper] "
"root","17","0.0","0.0","0","0","?","S","Jan24","0:00","[kdevtmpfs] "
"root","18","0.0","0.0","0","0","?","S<","Jan24","0:00","[netns] "
"root","19","0.0","0.0","0","0","?","S<","Jan24","0:00","[writeback] "
"root","20","0.0","0.0","0","0","?","S<","Jan24","0:00","[kintegrityd] "
"root","21","0.0","0.0","0","0","?","S<","Jan24","0:00","[bioset] "
"root","22","0.0","0.0","0","0","?","S<","Jan24","0:00","[kblockd] "
"root","24","0.0","0.0","0","0","?","S<","Jan24","0:00","[ata_sff] "
"root","25","0.0","0.0","0","0","?","S","Jan24","0:00","[khubd] "
"root","26","0.0","0.0","0","0","?","S<","Jan24","0:00","[md] "
"root","27","0.0","0.0","0","0","?","S","Jan24","0:00","[khungtaskd] "
"root","28","0.0","0.0","0","0","?","S","Jan24","0:00","[kswapd0] "
"root","29","0.0","0.0","0","0","?","SN","Jan24","0:00","[ksmd] "
"root","30","0.0","0.0","0","0","?","SN","Jan24","0:01","[khugepaged] "
"root","31","0.0","0.0","0","0","?","S","Jan24","0:00","[fsnotify_mark] "
"root","32","0.0","0.0","0","0","?","S<","Jan24","0:00","[crypto] "
"root","38","0.0","0.0","0","0","?","S<","Jan24","0:00","[kthrotld] "
"root","41","0.0","0.0","0","0","?","S<","Jan24","0:00","[kpsmoused] "
"root","43","0.0","0.0","0","0","?","S<","Jan24","0:00","[deferwq] "
"root","195","0.0","0.0","0","0","?","S","Jan24","0:00","[scsi_eh_0] "
"root","196","0.0","0.0","0","0","?","S","Jan24","0:00","[scsi_eh_1] "
"root","248","0.0","0.0","0","0","?","S<","Jan24","0:00","[mpt_poll_0] "
"root","249","0.0","0.0","0","0","?","S<","Jan24","0:00","[mpt/0] "
"root","277","0.0","0.0","0","0","?","S","Jan24","0:00","[scsi_eh_2] "
"root","313","0.0","0.0","0","0","?","S<","Jan24","0:02","[kworker/0:1H] "
"root","342","0.0","0.0","0","0","?","S<","Jan24","0:00","[kdmflush] "
"root","343","0.0","0.0","0","0","?","S<","Jan24","0:00","[bioset] "
"root","345","0.0","0.0","0","0","?","S<","Jan24","0:00","[kdmflush] "
"root","348","0.0","0.0","0","0","?","S<","Jan24","0:00","[bioset] "
"root","363","0.0","0.0","0","0","?","S","Jan24","0:12","[jbd2/dm-0-8] "
